Reservoir_name,Basin,Subbasin,Agency_name,Lat,Long,Date,Year,Month,Full_reservoir_level,Live_capacity_FRL,Storage,Level
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,01-03-2024,2024,3,320.04,0.095,0.0081,303.505
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,02-03-2024,2024,3,320.04,0.095,0.00755,303.352
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,03-03-2024,2024,3,320.04,0.095,0.427416955003879,408.343594375963
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,04-03-2024,2024,3,320.04,0.095,0.00669,303.093
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,05-03-2024,2024,3,320.04,0.095,0.00621,302.941
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,06-03-2024,2024,3,320.04,0.095,0.00601,302.88
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,07-03-2024,2024,3,320.04,0.095,0.00582,302.819
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,08-03-2024,2024,3,320.04,0.095,0.00563,302.758
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,09-03-2024,2024,3,320.04,0.095,0.00539,302.682
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,10-03-2024,2024,3,320.04,0.095,0.0063,302.971
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,11-03-2024,2024,3,320.04,0.095,0.00766,303.383
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,12-03-2024,2024,3,320.04,0.095,0.427416955003879,408.343594375963
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,13-03-2024,2024,3,320.04,0.095,0.00926,303.825
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,14-03-2024,2024,3,320.04,0.095,0.00821,303.535
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,15-03-2024,2024,3,320.04,0.095,0.00712,303.23
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,16-03-2024,2024,3,320.04,0.095,0.00611,302.91
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,17-03-2024,2024,3,320.04,0.095,0.00505,302.575
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,18-03-2024,2024,3,320.04,0.095,0.00413,302.285
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,19-03-2024,2024,3,320.04,0.095,0.00331,302.026
